Date,Opponent,Player,Position,Sets,Kills,Attack Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RetAtt,RErr,Block Solos,Block Assists,BErr,TB,PTS,BHE
8/31/2023,Lane College,"Pitt, Jewel",Defensive Specialist,4,2,0,3,0.667,,1,2,10,9,,,,,,3,
8/31/2023,Lane College,"McClinton, Kaylen",Setter/Rightside Hitter,1,0,0,0,,5,,,2,,,,,,,,
8/31/2023,Lane College,"Stephens, Olivia",Outside Hitter,4,3,3,10,,1,,,,1,1,,,,,3,
8/31/2023,Lane College,"Gray, Raven",Outside Hitter,4,16,7,43,0.209,,1,1,13,35,3,1,,,1,18,
8/31/2023,Lane College,"Davis, Rheign",Middle Blocker,4,6,1,17,0.294,,2,,2,,,1,,,1,9,1
8/31/2023,Lane College,"Lindsey, Tiara",Setter/Rightside Hitter,4,3,2,18,0.056,13,,,2,4,1,,,,,3,1
8/31/2023,Lane College,"Pruitt, Alayna",Outside Hitter,2,0,3,9,-0.333,,,,1,1,1,,,,,,
8/31/2023,Lane College,"Jefferson, Blair",Defensive Specialist,1,0,0,0,,,,,,2,,,,,,,
8/31/2023,Lane College,"Norwood, Brooke",Setter/Rightside Hitter,4,3,0,7,0.429,16,1,2,11,1,,,,,,4,
8/31/2023,Lane College,"Chambers, Jada",Defensive Specialist,2,1,1,2,,1,,,,,,,,,,1,
8/31/2023,Lane College,"Tillman, Janai",Outside Hitter,4,5,4,24,0.042,,,,5,2,,,,,,5,
8/31/2023,Lane College,"Cuthbertson, Kalyn",Defensive Specialist,4,0,0,2,,1,3,2,16,19,1,,,,,3,
9/1/2023,Harris-Stowe State University,"Norwood, Brooke",Setter/Rightside Hitter,4,1,0,4,0.25,24,1,4,3,,,,,,,2,
9/1/2023,Harris-Stowe State University,"Tillman, Janai",Outside Hitter,4,8,4,23,0.174,,,2,2,8,1,,1,,1,8.5,
9/1/2023,Harris-Stowe State University,"Stephens, Olivia",Outside Hitter,4,5,1,9,0.444,,,,,,,,2,,2,6,
9/1/2023,Harris-Stowe State University,"Gray, Raven",Outside Hitter,4,19,8,43,0.256,1,,1,8,28,1,,2,,2,20,1
9/1/2023,Harris-Stowe State University,"Davis, Rheign",Middle Blocker,4,10,3,27,0.259,,1,3,3,,,,1,,1,11.5,
9/1/2023,Harris-Stowe State University,"Lindsey, Tiara",Setter/Rightside Hitter,4,4,1,10,0.3,11,1,2,2,1,,,,,,5,
9/1/2023,Harris-Stowe State University,"Pruitt, Alayna",Outside Hitter,4,3,1,13,0.154,,,,4,,,,,,,3,
9/1/2023,Harris-Stowe State University,"Pitt, Jewel",Defensive Specialist,4,1,0,2,0.5,,,1,7,6,,,,,,1,
9/1/2023,Harris-Stowe State University,"Cuthbertson, Kalyn",Defensive Specialist,4,1,0,2,0.5,6,2,2,17,33,2,,,,,3,
9/1/2023,Harris-Stowe State University,"McClinton, Kaylen",Setter/Rightside Hitter,3,0,0,1,,10,,,5,,,,,,,,1
9/1/2023, Talladega College,"Norwood, Brooke",Setter/Rightside Hitter,3,0,1,8,-0.125,2,3,,7,2,,,,,,3,
9/1/2023, Talladega College,"Tillman, Janai",Outside Hitter,3,7,2,16,0.312,,,1,1,6,1,,,,,7,
9/1/2023, Talladega College,"Stephens, Olivia",Outside Hitter,3,0,2,5,-0.4,,,,1,,,,,,,,
9/1/2023, Talladega College,"Gray, Raven",Outside Hitter,1,1,1,8,,,,,2,11,2,,,,,1,1
